,Unnamed: 0,Unnamed: 1,Unnamed: 2,Confirmed
0,WHO Regional Office,Country/Territory/Area,,
1,,,,Cases
2,,China,Total,830*
3,,,Unspecified4,384
4,,,Hubei Province,375
5,,,Guangdong Province,32
6,,,Beijing Municipality,10
7,,,Shanghai Municipality,9
8,,,Chongqing Municipality,5
9,,,Zhejiang Province,5
10,,,Jiangxi Province,2
11,,,Sichuan Province,2
12,,,Tianjin Municipality,2
13,WHO WPRO Region,,Henan Province,1
14,,,Hunan Province,1
15,,,Shandong Province,1
16,,,Yunnan Province,1
17,,,Taipei Municipality,1
18,,,Hong Kong Special Administrative,
19,,,,2
20,,,Region,
21,,,Macau Special Administrative Region,2
22,,Japan,,1
23,,Republic of Korea,,2
24,,Viet Nam,,2
25,,Republic of Singapore,,1
26,WHO SEARO Region,Thailand,,4
27,WHO AMRO Region,United States of America,,1
28,Total Confirmed cases,Total,,846
