,WHO Regional Office,Country/Territory/Area,Confirmed Cases
0,,China*,11821.0
1,,Japan,17.0
2,,Republic of Korea,12.0
3,Western Pacific,,
4,,Viet Nam,6.0
5,,,
6,,Singapore,16.0
7,,,
8,,Australia,12.0
9,,,
10,,Malaysia,8.0
11,,Cambodia,1.0
12,,Philippines,1.0
13,,Thailand,19.0
14,,Nepal,1.0
15,South-East Asia,,
16,,Sri Lanka,1.0
17,,India,1.0
18,,United States of America,7.0
19,Region of the Americas,,
20,,Canada,4.0
21,,France,6.0
22,,Finland,1.0
23,,Germany,7.0
24,,Italy,2.0
25,European Region,,
26,,Russian Federation,2.0
27,,Spain,1.0
28,,Sweden,1.0
29,,United Kingdom,2.0
30,Eastern Mediterranean,United Arab Emirates,4.0
31,Total Confirmed cases,Total,11953.0
