,Unnamed: 0,Unnamed: 1,Unnamed: 2,Total,Total cases with,T otal cases with,Unnamed: 3
0,,,,cases with,possible or,site of,
1,,,Confirmed*,travel,confirmed,transmission,Total deaths
2,WHO Region Country/Territory/Area,,,,,,
3,,,cases (new),history to,transmission,under,(new)
4,,,,China,outside of China†,investigation,
5,,,,(new),(new),(new),
6,Singapore,,72 (5),22 (0),49 (5),1 (0),0 (0)
7,Japan,,53 (12),26 (1),27 (11),0 (0),1 (0)
8,Republic of Korea,,29 (1),13 (0),13‡ (1),3 (0),0 (0)
9,Western Pacific Region Malaysia,,22 (1),17 (0),4§ (0),1 (1),0 (0)
10,Viet Nam,,16 (0),8 (0),8 (0),0 (0),0 (0)
11,Australia,,15 (0),12 (0),3 (0),0 (0),0 (0)
12,Philippines,,3 (0),3 (0),0 (0),0 (0),1 (0)
13,Cambodia,,1 (0),1 (0),0 (0),0 (0),0 (0)
14,Thailand,,34 (0),23 (0),7 (0),4 (0),0 (0)
15,India,,3 (0),3 (0),0 (0),0 (0),0 (0)
16,South-East Asia Region,,,,,,
17,Nepal,,1 (0),1 (0),0 (0),0 (0),0 (0)
18,Sri Lanka,,1 (0),1 (0),0 (0),0 (0),0 (0)
19,United States of,,,,,,
20,Region of the Americas America,,15 (0),13 (0),2 (0),0 (0),0 (0)
21,Canada,,7 (0),6 (0),0 (0),1 (0),0 (0)
22,Germany,,16 (0),2 (0),14 (0),0 (0),0 (0)
23,France,,12 (1),5 (0),7 (1),0 (0),1 (1)
24,The United Kingdom,,9 (0),2 (0),7** (0),0 (0),0 (0)
25,Italy,,3 (0),3 (0),0 (0),0 (0),0 (0)
26,European Region Russian Federation,,2 (0),2 (0),0 (0),0 (0),0 (0)
27,Spain,,2 (0),0 (0),2†† (0),0 (0),0 (0)
28,Belgium,,1 (0),1 (0),0 (0),0 (0),0 (0)
29,Finland,,1 (0),1 (0),0 (0),0 (0),0 (0)
30,Sweden,,1 (0),1 (0),0 (0),0 (0),0 (0)
31,Eastern Mediterranean United Arab Emirates,,8 (0),6 (0),1 (0),1 (0),0 (0)
32,Region Egypt,,1 (0),0 (0),1 (0),0 (0),0 (0)
33,International Other,,,,,,
34,conveyance‡‡ (Japan),,355 (137),0 (0),0 (0),355 (137),0 (0)
