,Cumulative Province/  Daily,Unnamed: 0
0,Population,
1,Region/,
2,"(10,000s)",
3,Confirmed Suspected,Confirmed
4,City cases* cases,Deaths cases Deaths
5,,
6,Hubei 5917 1933 909,100 58182 1696
7,Guangdong 11346 6 1,2 1322 4
8,Henan 9605 15 112,3 1246 16
9,Zhejiang 5737 4 13,0 1171 0
10,Hunan 6899 2 14,0 1006 3
11,Anhui 6324 11 9,0 973 6
12,Jiangxi 4648 5 2,0 930 1
13,Jiangsu 8051 9 3,0 626 0
14,Chongqing 3102 7 63,0 551 5
15,Shandong 10047 4 21,0 541 2
16,Sichuan 8341 14 40,0 495 3
17,Heilongjiang 3773 12 27,0 457 11
18,Beijing 2154 1 33,0 381 4
19,Shanghai 2424 3 67,0 331 1
20,Hebei 7556 1 2,0 301 3
21,Fujian 3941 3 3,0 290 0
22,Shaanxi 3864 4 15,0 240 0
23,Guangxi 4926 1 26,0 238 2
24,Yunnan 4830 2 22,0 171 0
25,Hainan 934 0 27,0 162 4
26,Guizhou 3600 2 2,0 146 1
27,Shanxi 3718 1 5,0 129 0
28,Tianjin 1560 2 88,0 124 3
29,Liaoning 4359 1 45,0 121 1
30,Gansu 2637 1 0,0 91 2
31,Jilin 2704 0 9,0 89 1
32,Xinjiang 2487 2 2,0 73 1
33,Inner Mongolia 2534 2 3,0 72 0
34,Ningxia 688 0 0,0 70 0
35,Hong Kong SAR 745 1 0,0 57 1
36,Taipei and environs 2359 2 0,1 20 1
37,Qinghai 603 0 0,0 18 0
38,Macao SAR 66 0 0,0 10 0
39,Xizang 344 0 0,0 1 0
40,Total 142823 2051 1563,106 70635 1772
